article,paragraph,text,E_id,fromID,fromText,toID,toText,relationship,fromSpan,fromVerb,fromPOS,toSpan,toVerb,toPOS
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E19,V3,running,V5,named,vague,88~95,running,VBG,158~163,named,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E21,V3,running,V7,were,vague,88~95,running,VBG,180~184,were,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E22,V4,declined,V5,named,before,143~151,declined,VBD,158~163,named,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E23,V4,declined,V6,discussing,after,143~151,declined,VBD,164~174,discussing,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E24,V4,declined,V7,were,vague,143~151,declined,VBD,180~184,were,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E25,V5,named,V6,discussing,after,158~163,named,VBN,164~174,discussing,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E26,V5,named,V7,were,vague,158~163,named,VBN,180~184,were,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E27,V6,discussing,V7,were,vague,164~174,discussing,VBG,180~184,were,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E5,V0,have,V6,gone,vague,5~9,have,VBP,157~161,gone,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E6,V0,have,V7,done,vague,5~9,have,VBP,223~227,done,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E7,V0,have,V8,see,vague,5~9,have,VBP,231~234,see,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E9,V1,anticipate,V2,come,before,13~23,anticipate,VB,36~40,come,VBP
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E10,V1,anticipate,V3,said,before,13~23,anticipate,VB,83~87,said,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E11,V1,anticipate,V4,is,vague,13~23,anticipate,VB,96~98,is,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E15,V1,anticipate,V8,see,vague,13~23,anticipate,VB,231~234,see,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E16,V1,anticipate,V9,s,vague,13~23,anticipate,VB,244~245,s,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E17,V2,come,V3,said,after,36~40,come,VBP,83~87,said,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E18,V2,come,V4,is,vague,36~40,come,VBP,96~98,is,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E23,V2,come,V9,s,vague,36~40,come,VBP,244~245,s,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E24,V3,said,V4,is,vague,83~87,said,VBD,96~98,is,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E29,V3,said,V9,s,vague,83~87,said,VBD,244~245,s,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E31,V4,is,V6,gone,vague,96~98,is,VBZ,157~161,gone,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E32,V4,is,V7,done,vague,96~98,is,VBZ,223~227,done,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E33,V4,is,V8,see,vague,96~98,is,VBZ,231~234,see,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E39,V6,gone,V7,done,after,157~161,gone,VBN,223~227,done,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E41,V6,gone,V9,s,vague,157~161,gone,VBN,244~245,s,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E43,V7,done,V9,s,vague,223~227,done,VBN,244~245,s,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0039.xml,"“You have to anticipate how they’ll come after you, because they will,” Mr. Loeser said. “Oprah is one of the most beloved people in America. But has anyone gone through every minute and every hour of every show she’s ever done to see if there’s anything controversial? Because someone will.”
",E44,V8,see,V9,s,vague,231~234,see,VB,244~245,s,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0013.xml,"Those circumstances have obviously changed drastically. With Mr. Trump in office, the next Democratic race appears wide open, and many friends and potential donors are urging Mr. Schultz to run.
",E5,V1,changed,V3,urging,before,35~42,changed,VBN,168~174,urging,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0013.xml,"Those circumstances have obviously changed drastically. With Mr. Trump in office, the next Democratic race appears wide open, and many friends and potential donors are urging Mr. Schultz to run.
",E6,V1,changed,V4,run,before,35~42,changed,VBN,190~193,run,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0013.xml,"Those circumstances have obviously changed drastically. With Mr. Trump in office, the next Democratic race appears wide open, and many friends and potential donors are urging Mr. Schultz to run.
",E7,V2,appears,V3,urging,vague,107~114,appears,VBZ,168~174,urging,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0013.xml,"Those circumstances have obviously changed drastically. With Mr. Trump in office, the next Democratic race appears wide open, and many friends and potential donors are urging Mr. Schultz to run.
",E8,V2,appears,V4,run,vague,107~114,appears,VBZ,190~193,run,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0013.xml,"Those circumstances have obviously changed drastically. With Mr. Trump in office, the next Democratic race appears wide open, and many friends and potential donors are urging Mr. Schultz to run.
",E9,V3,urging,V4,run,before,168~174,urging,VBG,190~193,run,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E1,V0,runs,V2,has,vague,15~19,runs,VBZ,70~73,has,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E2,V0,runs,V3,are,vague,15~19,runs,VBZ,86~89,are,VBP
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E7,V1,told,V2,has,vague,59~63,told,VBD,70~73,has,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E8,V1,told,V3,are,vague,59~63,told,VBD,86~89,are,VBP
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E14,V2,has,V4,considering,vague,70~73,has,VBZ,110~121,considering,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E16,V2,has,V6,tell,vague,70~73,has,VBZ,161~165,tell,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E17,V2,has,V7,said,vague,70~73,has,VBZ,198~202,said,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E20,V3,are,V6,tell,vague,86~89,are,VBP,161~165,tell,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E21,V3,are,V7,said,vague,86~89,are,VBP,198~202,said,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E23,V4,considering,V6,tell,before,110~121,considering,VBG,161~165,tell,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0006.xml,"Mr. Loeser now runs his own strategic consulting firm, and told me he has clients who are business executives considering a run for high public office. “I can’t tell you their names, obviously,” he said.
",E24,V4,considering,V7,said,before,110~121,considering,VBG,198~202,said,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0012.xml,"Mr. Schultz, 63, with a fortune estimated by Forbes at $3 billion, came close to making a bid last year, but backed out after concluding it would be very difficult to defeat Mrs. Clinton, who seemed to have the Democratic nomination all but locked up and at the time seemed likely to win the presidency.",E1,V0,estimated,V2,making,vague,32~41,estimated,VBN,81~87,making,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0012.xml,"Mr. Schultz, 63, with a fortune estimated by Forbes at $3 billion, came close to making a bid last year, but backed out after concluding it would be very difficult to defeat Mrs. Clinton, who seemed to have the Democratic nomination all but locked up and at the time seemed likely to win the presidency.",E2,V0,estimated,V3,backed,vague,32~41,estimated,VBN,109~115,backed,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0012.xml,"Mr. Schultz, 63, with a fortune estimated by Forbes at $3 billion, came close to making a bid last year, but backed out after concluding it would be very difficult to defeat Mrs. Clinton, who seemed to have the Democratic nomination all but locked up and at the time seemed likely to win the presidency.",E5,V0,estimated,V6,defeat,vague,32~41,estimated,VBN,167~173,defeat,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0012.xml,"Mr. Schultz, 63, with a fortune estimated by Forbes at $3 billion, came close to making a bid last year, but backed out after concluding it would be very difficult to defeat Mrs. Clinton, who seemed to have the Democratic nomination all but locked up and at the time seemed likely to win the presidency.",E7,V0,estimated,V8,have,vague,32~41,estimated,VBN,202~206,have,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0012.xml,"Mr. Schultz, 63, with a fortune estimated by Forbes at $3 billion, came close to making a bid last year, but backed out after concluding it would be very difficult to defeat Mrs. Clinton, who seemed to have the Democratic nomination all but locked up and at the time seemed likely to win the presidency.",E10,V0,estimated,V11,win,vague,32~41,estimated,VBN,284~287,win,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0012.xml,"Mr. Schultz, 63, with a fortune estimated by Forbes at $3 billion, came close to making a bid last year, but backed out after concluding it would be very difficult to defeat Mrs. Clinton, who seemed to have the Democratic nomination all but locked up and at the time seemed likely to win the presidency.",E11,V1,came,V2,making,before,67~71,came,VBD,81~87,making,VBG
